ticker,company,cik,phrase,form,filed,period,accession,url
CHTR,"CHARTER COMMUNICATIONS, INC. /MO/",1091667,consolidated leverage ratio,EX-10.1,2003-08-05,2003-06-30,0000950123-03-008915,https://www.sec.gov/Archives/edgar/data/1091667/000095012303008915/y88762exv10w1.htm
CHTR,"CHARTER COMMUNICATIONS, INC. /MO/",1091667,consolidated leverage ratio,EX-10.6,2013-05-07,2013-03-31,0001091667-13-000088,https://www.sec.gov/Archives/edgar/data/1091667/000109166713000088/chtr3312013exh-106.htm
CHTR,"CHARTER COMMUNICATIONS, INC. /MO/",1091667,consolidated leverage ratio,EX-10.5,2013-05-07,2013-03-31,0001091667-13-000088,https://www.sec.gov/Archives/edgar/data/1091667/000109166713000088/chtr3312013exh-105.htm
CHTR,"CHARTER COMMUNICATIONS, INC. /MO/",1091667,maximum leverage ratio,10-Q,2002-08-06,2002-06-30,0001091667-02-000005,https://www.sec.gov/Archives/edgar/data/1091667/000109166702000005/body10q.htm
CHTR,"CHARTER COMMUNICATIONS, INC. /MO/",1091667,maximum leverage ratio,10-Q,2002-08-06,2002-06-30,0001091667-02-000005,https://www.sec.gov/Archives/edgar/data/1091667/000109166702000005/cci-q20210q.pdf
CHTR,"CHARTER COMMUNICATIONS, INC. /MO/",1091667,maximum leverage ratio,10-Q,2002-11-19,2002-09-30,0001091667-02-000038,https://www.sec.gov/Archives/edgar/data/1091667/000109166702000038/body10q.htm
CHTR,"CHARTER COMMUNICATIONS, INC. /MO/",1091667,interest coverage ratio,EX-10.3.A,2003-08-05,2003-06-30,0000950123-03-008915,https://www.sec.gov/Archives/edgar/data/1091667/000095012303008915/y88762exv10w3wa.htm
CHTR,"CHARTER COMMUNICATIONS, INC. /MO/",1091667,interest coverage ratio,EX-10.1,2003-08-05,2003-06-30,0000950123-03-008915,https://www.sec.gov/Archives/edgar/data/1091667/000095012303008915/y88762exv10w1.htm
CHTR,"CHARTER COMMUNICATIONS, INC. /MO/",1091667,interest coverage ratio,EX-10.8,2001-11-14,2001-09-30,0000950123-01-508474,https://www.sec.gov/Archives/edgar/data/1091667/000095012301508474/y54841ex10-8.htm
CHTR,"CHARTER COMMUNICATIONS, INC. /MO/",1091667,minimum liquidity,10-Q,2026-07-24,2026-06-30,0001091667-26-000052,https://www.sec.gov/Archives/edgar/data/1091667/000109166726000052/chtr-20260630.htm
CHTR,"CHARTER COMMUNICATIONS, INC. /MO/",1091667,minimum liquidity,10-Q,2025-04-25,2025-03-31,0001091667-25-000099,https://www.sec.gov/Archives/edgar/data/1091667/000109166725000099/chtr-20250331.htm
CHTR,"CHARTER COMMUNICATIONS, INC. /MO/",1091667,minimum liquidity,10-Q,2026-04-24,2026-03-31,0001091667-26-000028,https://www.sec.gov/Archives/edgar/data/1091667/000109166726000028/chtr-20260331.htm
CHTR,"CHARTER COMMUNICATIONS, INC. /MO/",1091667,restricted payments,EX-10.1,2012-11-06,2012-09-30,0001091667-12-000151,https://www.sec.gov/Archives/edgar/data/1091667/000109166712000151/exh-101fourthsupplementali.htm
CHTR,"CHARTER COMMUNICATIONS, INC. /MO/",1091667,restricted payments,EX-10.9,2013-02-22,2012-12-31,0001091667-13-000020,https://www.sec.gov/Archives/edgar/data/1091667/000109166713000020/chtr12312012exh-109.htm
CHTR,"CHARTER COMMUNICATIONS, INC. /MO/",1091667,restricted payments,EX-10.7,2013-05-07,2013-03-31,0001091667-13-000088,https://www.sec.gov/Archives/edgar/data/1091667/000109166713000088/chtr3312013exh-107.htm
SATS,EchoStar CORP,1415404,restricted payments,10-Q,2025-05-09,2025-03-31,0001558370-25-007050,https://www.sec.gov/Archives/edgar/data/1415404/000155837025007050/tmb-20250331x10q.htm
SATS,EchoStar CORP,1415404,restricted payments,10-Q,2025-08-01,2025-06-30,0001558370-25-009923,https://www.sec.gov/Archives/edgar/data/1415404/000155837025009923/tmb-20250630x10q.htm
SATS,EchoStar CORP,1415404,restricted payments,10-Q,2026-05-11,2026-03-31,0001104659-26-058150,https://www.sec.gov/Archives/edgar/data/1415404/000110465926058150/sats-20260331x10q.htm
CCL,Carnival Corp Ltd.,815097,interest coverage ratio,10-Q,2023-03-29,2023-02-28,0000815097-23-000035,https://www.sec.gov/Archives/edgar/data/815097/000081509723000035/pdfofform10q.pdf
CCL,Carnival Corp Ltd.,815097,interest coverage ratio,10-Q,2023-03-29,2023-02-28,0000815097-23-000035,https://www.sec.gov/Archives/edgar/data/815097/000081509723000035/ccl-20230228.htm
CCL,Carnival Corp Ltd.,815097,interest coverage ratio,10-Q,2020-04-03,2020-02-29,0000815097-20-000030,https://www.sec.gov/Archives/edgar/data/815097/000081509720000030/a1q202010qv1236.pdf
CCL,Carnival Corp Ltd.,815097,fixed charge coverage ratio,EX-10.52,2021-01-26,2020-11-30,0000815097-21-000027,https://www.sec.gov/Archives/edgar/data/815097/000081509721000027/ex_10x52xq42020.htm
