ticker,cik,name,role,n_concepts,n_restatements,n_segment_members,n_segment_facts,public_float,verdict
GE,40545,GENERAL ELECTRIC CO,A,945,438,2,48,270200000000,KEEP
MMM,66740,3M CO,A,700,109,3,165,81100000000,KEEP
DHR,313616,DANAHER CORP /DE/,A,621,340,5,109,125900000000,KEEP
JNJ,200406,JOHNSON & JOHNSON,A,609,71,2,105,367000000000,KEEP
K,55067,KELLANOVA,A,662,181,4,32,16600000000,KEEP
DD,1666700,"DuPont de Nemours, Inc.",A,650,233,4,92,12000000000,KEEP
BAX,10456,BAXTER INTERNATIONAL INC,A,775,307,3,95,16000000000,KEEP
FTV,1659166,Fortive Corp,A,470,170,4,102,18200000000,KEEP
EXC,1109357,EXELON CORP,A,939,108,8,107,43835664870,KEEP
LH,920148,LABCORP HOLDINGS INC.,A,750,265,2,36,21700000000,KEEP
IBM,51143,INTERNATIONAL BUSINESS MACHINES CORP,A,780,118,4,105,274500000000,KEEP
WDC,106040,WESTERN DIGITAL CORP,A,692,96,1,61,47690000000,KEEP
BDX,10795,BECTON DICKINSON & CO,A,542,152,6,82,65472902857,KEEP
ELAN,1739104,Elanco Animal Health Inc,A,366,60,1,39,7000000000,KEEP
CXT,25445,"Crane NXT, Co.",A,570,250,4,35,2639200410,KEEP
HON,773840,HONEYWELL INTERNATIONAL INC,A,632,191,6,73,145300000000,KEEP
GEV,1996810,GE Vernova Inc.,B,342,0,0,18,144000000000,KEEP
SOLV,1964738,Solventum Corp,B,263,1,4,58,13100000000,KEEP
VLTO,1967680,Veralto Corp,B,284,0,4,102,25700000000,KEEP
KVUE,1944048,Kenvue Inc.,B,393,18,3,54,39600000000,KEEP
KLG,1959348,WK Kellogg Co,B,274,88,0,12,1400000000,KEEP
INTC,50863,INTEL CORP,C,684,40,6,92,99300000000,KEEP
AMZN,1018724,AMAZON COM INC,C,545,98,3,60,2118061430046,KEEP
DIS,1744489,Walt Disney Co,C,494,1,5,94,176600000000,KEEP
CRM,1108524,"Salesforce, Inc.",C,691,115,0,39,191800000000,KEEP
CMCSA,1166691,COMCAST CORP,C,466,60,5,84,130745000000,KEEP
WBD,1437107,"Warner Bros. Discovery, Inc.",C,863,94,4,45,28000000000,KEEP
EMR,32604,EMERSON ELECTRIC CO,C,454,112,1,12,61500000000,KEEP
TXT,217346,TEXTRON INC,C,531,18,6,134,14300000000,KEEP
PSX,1534701,Phillips 66,C,554,16,5,117,48200000000,KEEP
MCK,927653,MCKESSON CORP,C,700,66,6,52,95300000000,KEEP
UNH,731766,UNITEDHEALTH GROUP INC,C,573,10,8,65,281907836350,KEEP
BRK.B,1067983,BERKSHIRE HATHAWAY INC,D,437,31,8,182,902700000000,KEEP
AIG,5272,"AMERICAN INTERNATIONAL GROUP, INC.",D,950,205,0,6,47910000000,KEEP
COF,927628,CAPITAL ONE FINANCIAL CORP,D,1040,80,3,90,135200000000,KEEP
TFC,92230,TRUIST FINANCIAL CORP,D,852,77,0,0,55400000000,KEEP
GOOGL,1652044,Alphabet Inc.,E,543,29,3,105,1900000000000,KEEP
FOXA,1754301,Fox Corp,E,309,0,2,26,0,KEEP
NWSA,1564708,NEWS CORP,E,510,82,6,96,0,KEEP
LBRDA,1611983,Liberty Broadband Corp,E,366,45,1,4,12200000000,KEEP
NKE,320187,"NIKE, Inc.",F,443,122,2,32,80529120635,KEEP
ORCL,1341439,ORACLE CORP,F,535,40,3,93,346760150000,KEEP
COST,909832,COSTCO WHOLESALE CORP /NEW,F,460,9,3,39,475200000000,KEEP
DE,315189,DEERE & CO,F,662,36,4,126,124313866554,KEEP
AVGO,1730168,Broadcom Inc.,F,432,30,2,78,939200000000,KEEP
CHTR,1091667,"CHARTER COMMUNICATIONS, INC. /MO/",G,504,40,0,0,37100000000,KEEP
SATS,1415404,EchoStar CORP,G,759,190,5,55,3741000000,KEEP
CCL,815097,Carnival Corp Ltd.,G,360,42,5,104,25100000000,KEEP
CYH,1108109,COMMUNITY HEALTH SYSTEMS INC,G,559,53,0,0,415200800,KEEP
CVNA,1690820,CARVANA CO.,G,347,15,1,15,43800000000,KEEP
MU,723125,MICRON TECHNOLOGY INC,ALT,629,14,5,89,85700000000,KEEP
CSCO,858877,"CISCO SYSTEMS, INC.",ALT,789,6,3,52,294500000000,KEEP
FDX,1048911,FEDEX CORP,ALT,511,62,3,67,64600000000,KEEP
JBL,898293,JABIL INC,ALT,630,58,3,57,14400000000,KEEP
NDSN,72331,NORDSON CORP,ALT,552,46,6,83,10705289437,KEEP
SYY,96021,SYSCO CORP,ALT,538,57,4,67,35217557254,KEEP
UAA,1336917,"Under Armour, Inc.",ALT,456,183,1,73,15034547119,KEEP
BHC,885590,Bausch Health Companies Inc.,ALT,559,78,5,117,2004729038,KEEP
